fighter_a,fighter_b,date,label,height_diff,reach_diff,age_diff,wins_diff,losses_diff,win_streak_diff,slpm_diff,sapm_diff,td_avg_diff,sub_avg_diff,kd_avg_diff,ctrl_avg_diff,ko_rate_diff,sub_rate_diff,southpaw_diff
Matt Hughes,Sean Sherk,2003-04-25,1,3.0,6.0,-0.18891170431211535,3.0,1.0,1.0,1.862148416786488,-0.12174804723001881,-0.5152228934466416,0.4369992716678805,0.0,-11.759768237448803,0.5,-0.3333333333333333,0.0
Randy Couture,Chuck Liddell,2003-06-06,1,-1.0,-1.0,6.488706365503077,-1.0,1.0,-9.0,-0.26665509464135173,0.4424681560909305,2.2484052915537456,0.5419238295950625,-0.6514657980456027,11.814189558600786,0.3214285714285714,0.14285714285714285,0.0
Andrei Arlovski,Vladimir Matyushenko,2003-09-26,1,3.0,3.0,-8.084873374401095,-1.0,1.0,-1.0,1.1359828696952354,0.9790633710519998,-2.1989551990844145,1.1795543905635648,0.5897771952817824,-24.916574677422332,0.16666666666666669,0.5,0.0
Randy Couture,Tito Ortiz,2003-09-26,1,-2.0,1.0,11.589322381930181,-1.0,0.0,-5.0,-0.39255142134529164,0.7512403821710512,-1.775399358429906,0.20453725482264534,-0.1344688480502017,-20.89256771069057,0.06944444444444442,0.013888888888888895,0.0
Phil Baroni,Evan Tanner,2003-11-21,0,-3.0,-2.0,-5.177275838466802,-3.0,0.0,0.0,-0.8531565105431653,1.457437871717028,-1.0912156458020954,-2.4894191488850304,0.6820765441455097,-8.94516414377079,0.3333333333333333,-0.3333333333333333,0.0
Matt Hughes,BJ Penn,2004-01-31,0,0.0,3.0,5.166324435318277,3.0,0.0,4.0,0.023662729269199545,-0.5820869634508342,2.027508559353489,0.24282831175608377,-0.5260081823495032,21.415021624181698,-0.42500000000000004,0.125,0.0
Vitor Belfort,Randy Couture,2004-01-31,1,-1.0,-1.0,-13.776865160848732,-3.0,0.0,-1.0,-0.1523500417119088,1.1484812321591316,-0.3832356698220609,0.8699413652687044,1.833927661742231,-19.21903106824718,0.2777777777777778,0.05555555555555555,1.0
Chuck Liddell,Tito Ortiz,2004-04-02,1,-1.0,2.0,5.100616016427104,-1.0,-1.0,0.0,0.051672261115854656,0.09534304707988994,-3.6681992049211343,-0.32954961552544854,0.4629424909266803,-25.93695124221241,-0.3055555555555556,-0.1111111111111111,0.0
Hermes Franca,Yves Edwards,2004-04-02,0,-3.0,-2.0,2.0971937029431906,-2.0,-1.0,-5.0,-0.32385792981708605,1.669389866912465,2.1613789625172286,3.2605576545984984,0.5265022891403877,-2.9929825781851207,0.0,-0.25,-1.0
Phil Baroni,Evan Tanner,2004-06-19,0,-3.0,-2.0,-5.177275838466802,-4.0,1.0,-3.0,-1.002694847727342,1.5360921762500912,-1.2970976668635128,-2.239908082563452,1.2324546388223212,-10.844623027934961,0.23809523809523808,-0.2857142857142857,0.0
Frank Mir,Tim Sylvia,2004-06-19,1,-5.0,-1.0,-3.216974674880216,2.0,1.0,0.0,-11.340208627436116,-0.6402361033473234,4.51505016722408,9.782608695652174,-1.797066709617516,26.187575203463858,-0.8,0.6,1.0
Randy Couture,Vitor Belfort,2004-08-21,1,1.0,1.0,13.776865160848732,2.0,1.0,-3.0,0.1866241856234203,-1.105498108507354,0.4438413720897474,-0.832531445175836,-1.7795353435491843,18.38081765123971,-0.15873015873015872,-0.031746031746031744,-1.0
Karo Parisyan,Nick Diaz,2004-08-21,1,-3.0,-4.0,0.9281314168377826,-1.0,1.0,-3.0,-1.3566052385555154,1.1988781314867925,-2.457890316753554,2.3609152418830908,-0.8071748878923767,-14.568603527230666,-0.5,0.5,-1.0
Yves Edwards,Josh Thomson,2004-08-21,1,-1.0,2.0,1.973990417522245,3.0,2.0,3.0,-1.010336210813267,-0.3200817810086324,-2.353759654702408,1.0887096774193548,-0.30071558382553387,-6.370797364834166,-0.09999999999999998,0.2,1.0
Robbie Lawler,Evan Tanner,2004-10-22,0,-1.0,0.0,-11.101984941820671,-4.0,0.0,-3.0,-1.1848989090093465,1.4078142687418738,0.6443959248187232,-2.1680942184154177,1.1783960720130933,-11.168640940361747,0.125,-0.25,1.0
Georges St-Pierre,Matt Hughes,2004-10-22,0,2.0,3.0,-7.597535934291582,-7.0,-2.0,1.0,1.8110706913817425,-0.17826122499029246,0.9096993725858864,-0.7679180887372014,1.7964071856287425,6.488371380106678,0.16666666666666669,-0.1111111111111111,0.0
Jorge Rivera,Rich Franklin,2004-10-22,0,0.0,-3.0,2.6009582477754947,-1.0,1.0,-3.0,-3.584477611940299,0.4895522388059699,0.8955223880597015,0.0,-3.9044776119402984,5.535522388059704,-1.0,0.0,-1.0
Tito Ortiz,Vitor Belfort,2005-02-05,1,3.0,0.0,2.187542778918548,3.0,1.0,2.0,0.752600599858968,-1.414579189839609,1.7789216330520323,-1.2532243027150074,-1.1361813931846236,29.705542675535256,-0.2142857142857143,-0.042857142857142844,-1.0
Andrei Arlovski,Tim Sylvia,2005-02-05,1,-5.0,-3.0,-2.918548939082818,1.0,1.0,4.0,-8.976423752035776,-1.3780472041982261,-0.7293901713931183,0.8910891089108911,-0.5676912338753455,-6.731484114468888,-0.25,0.25,0.0
Chris Lytle,Karo Parisyan,2005-02-05,0,1.0,-4.0,8.027378507871322,0.0,1.0,1.0,1.0145009687925133,-0.6773817867007463,-4.13695015871707,-0.25121614379354384,0.3926701570680628,-8.743558560415549,0.0,0.5,0.0
Rich Franklin,Ken Shamrock,2005-04-09,1,0.0,4.0,-10.647501711156739,-3.0,-2.0,2.0,3.0154582736495104,-0.5041304475796164,1.0014324117497007,-1.0320428546200184,1.8794811922375054,33.51706924631596,0.3333333333333333,-0.3333333333333333,1.0
Chuck Liddell,Randy Couture,2005-04-16,1,1.0,1.0,-6.488706365503077,0.0,-1.0,1.0,0.06652845966238585,0.21625337047882787,-2.6184319733463317,-0.45629689718109917,0.9172976121141526,-19.398762326039943,-0.09999999999999998,-0.1,0.0
Matt Hughes,Frank Trigg,2005-04-16,1,0.0,2.0,-1.4346338124572249,8.0,1.0,0.0,-1.140330223648236,0.23863818329547537,2.585832646355856,0.0038698083777645165,0.0,-2.4838743157407777,-0.7,0.2,-1.0
Rich Franklin,Evan Tanner,2005-06-04,1,1.0,2.0,-3.646817248459957,-6.0,-2.0,0.0,0.7778041513530924,-0.13598025009575876,-0.6788215524857475,-1.5265387195981464,1.9217081850533808,3.286035134743738,0.35,-0.04999999999999999,1.0
Matt Serra,Karo Parisyan,2005-06-04,0,-4.0,-4.0,8.238193018480494,1.0,2.0,0.0,-0.20424161523655737,-0.7514115975764297,-2.6000183240051573,-0.532614891879795,0.0,2.700375323640394,0.0,-0.08333333333333331,0.0
Joe Doerksen,Matt Lindland,2005-08-20,0,0.0,1.0,-7.397672826830938,-7.0,-2.0,0.0,-1.9166742569960515,1.6943758338200072,0.8744059451031654,2.094395122186443,0.0,-20.715384079596657,-0.375,0.875,-1.0
Frank Trigg,Georges St-Pierre,2005-08-20,0,-2.0,-5.0,9.032169746748803,-1.0,1.0,-2.0,-0.4173054386125701,0.21826988512829704,-3.3617961402639853,-0.09055579496639288,-0.04527789748319644,0.6648480109509265,0.6666666666666667,0.0,1.0
Jeremy Horn,Chuck Liddell,2005-08-20,0,-1.0,-2.0,-5.686516084873375,-7.0,1.0,-4.0,-0.9557190295952145,-0.27111799570955397,3.3501171800394016,2.0756457564575648,-1.0294538175579069,8.50310017970068,-0.20454545454545453,0.75,0.0
Evan Tanner,David Loiseau,2005-10-03,0,0.0,-2.0,8.845995893223822,7.0,2.0,-3.0,0.7862458023876799,-0.698309329738318,1.7426069505219672,1.400271461742964,-1.2765534352351633,3.81652979705634,-0.2666666666666666,0.3,0.0
Josh Koscheck,Drew Fickett,2005-10-03,0,0.0,3.0,2.0369609856262834,1.0,-1.0,1.0,1.6059893048128342,-1.919572192513369,2.4192513368983954,-4.793582887700534,0.0,17.399786096256687,0.5,-0.5,0.0
Dennis Hallman,Jorge Rivera,2005-10-07,0,-4.0,-1.0,-3.759069130732378,0.0,0.0,0.0,-2.8026280373996726,-0.8478200438594556,0.5112229904735851,2.975206611570248,-0.48051254671649757,-11.258501630389219,0.0,1.0,0.0
Joe Riggs,Chris Lytle,2005-10-07,1,1.0,2.0,-8.098562628336754,-1.0,-2.0,0.0,1.3543771322579576,-1.156056440661124,3.1188930475969663,-1.9736842105263157,-0.28195488721804507,32.182852505713626,1.0,-1.0,1.0
Forrest Griffin,Elvis Sinosic,2005-10-07,1,0.0,0.0,-8.084873374401095,1.0,-3.0,5.0,4.579264543106628,-0.3920796949944658,2.601156069364162,0.45750830156192346,0.0,15.768294182757348,0.0,-0.5,0.0
Andrei Arlovski,Paul Buentello,2005-10-07,1,1.0,0.0,-5.051334702258728,4.0,2.0,3.0,-1.3532359002476797,-1.3983853585676203,0.38626609442060084,-0.4373144769431474,-2.0334272371480973,-3.258815299389311,0.16666666666666663,-0.16666666666666669,0.0
Diego Sanchez,Nick Diaz,2005-11-05,1,-3.0,-4.0,1.585215605749486,-2.0,-1.0,0.0,2.1504833963850354,-0.9247583018074823,3.505674653215636,-0.35308953341740246,-0.7566204287515763,24.669188734762507,0.25,-0.25,0.0
Nate Quarry,Rich Franklin,2005-11-19,0,-1.0,-4.0,2.548939082819988,-2.0,0.0,-2.0,3.290259252843698,1.2461458513771004,-1.0756972111553784,-0.7171314741035857,5.446041919279404,-13.522143310814709,0.4,-0.2,-1.0
Joe Riggs,Matt Hughes,2005-11-19,0,3.0,-3.0,-8.944558521560573,-9.0,-1.0,-2.0,0.3805506561664682,-0.04996417771307071,-1.244500775430228,-0.25172709459673337,0.0,-3.539241948617317,0.2272727272727273,-0.2727272727272727,1.0
Jeremy Horn,Trevor Prangley,2005-11-19,1,0.0,-1.0,-3.0006844626967855,2.0,4.0,-4.0,-1.2751472130354118,1.3767847059772524,-2.475598935226265,-0.03145922400580803,0.0,-35.414051786722595,0.25,0.25,0.0
Sean Sherk,Georges St-Pierre,2005-11-19,0,-5.0,-9.0,7.786447638603697,-1.0,0.0,-3.0,-2.967735845494534,0.3748532160320188,-0.6126979931658134,-1.9265608185920065,-0.7346938775510203,-4.751964356510406,-0.25,0.08333333333333331,0.0
Stephan Bonnar,James Irvin,2006-01-16,1,2.0,4.0,1.4401095140314837,0.0,0.0,0.0,2.059748427672956,0.18679245283018853,1.5,0.5,-2.1226415094339623,18.818238993710693,-1.0,0.0,0.0
Chris Leben,Jorge Rivera,2006-01-16,1,-2.0,0.0,-8.394250513347021,1.0,-2.0,2.0,-0.45618313624329776,-0.30540723216288357,1.1741928006262363,0.749375520399667,-0.3245582401730977,17.665624841421668,0.3333333333333333,0.3333333333333333,1.0
Chuck Liddell,Randy Couture,2006-02-04,1,1.0,1.0,-6.488706365503077,1.0,-2.0,3.0,0.2221776525681447,0.26808802403029897,-2.7947116550681916,-0.6766917293233082,1.1166253101736971,-20.318550719229837,0.04545454545454547,-0.18181818181818182,0.0
Nick Diaz,Joe Riggs,2006-02-04,0,1.0,6.0,-0.856947296372347,2.0,0.0,0.0,-0.01378310618932721,0.922335831113615,-0.27992566069095837,0.9592958034914874,0.5489478499542544,-13.514796919349957,0.25,0.25,0.0
Rich Franklin,David Loiseau,2006-03-04,1,1.0,0.0,5.199178644763858,2.0,-1.0,3.0,2.608480381207654,-1.3038120765393493,0.6416126870672326,0.3037748492293948,0.5734867098503462,2.7700841337204984,0.16666666666666663,0.16666666666666666,1.0
BJ Penn,Georges St-Pierre,2006-03-04,0,-2.0,-6.0,2.4312114989733047,1.0,0.0,0.0,-1.821476992607614,0.00794784777218549,-2.251492717292244,-1.1178844785225546,-0.12945063991821787,-16.922776000753558,0.2666666666666666,-0.033333333333333354,0.0
Keith Jardine,Stephan Bonnar,2006-04-06,0,-2.0,-3.0,1.4264202600958242,0.0,-1.0,0.0,0.6656373517786567,-1.5230154808959155,-2.1739130434782608,-1.3043478260869565,0.6392045454545455,-24.63768115942029,0.5,-0.5,0.0
Tim Sylvia,Andrei Arlovski,2006-04-15,1,5.0,3.0,2.9185489390828216,-2.0,0.0,-4.0,4.154036882070355,0.9912288857895555,0.06787540678754073,-1.506276150627615,-0.926080892608089,6.96445064311173,0.08571428571428574,-0.2857142857142857,0.0
Nick Diaz,Sean Sherk,2006-04-15,0,7.0,9.0,-9.990417522245036,1.0,1.0,0.0,1.1095690663064668,0.29857885459899824,-1.6946759014200636,1.2653417788620172,0.6460875807609475,-14.741785198482035,0.75,-0.08333333333333331,1.0
Forrest Griffin,Tito Ortiz,2006-04-15,0,0.0,3.0,-4.142368240930871,-8.0,-4.0,1.0,3.343200635875595,2.3238684169378194,-1.4954291787971976,1.1809583553606395,0.6340374005048285,-19.844367772871784,-0.12121212121212122,0.2424242424242424,0.0
Mike Swick,Joe Riggs,2006-05-27,1,1.0,7.0,3.263518138261464,0.0,-2.0,2.0,3.735539714312205,0.3794989828031001,-2.851969216840199,3.2070336574909866,7.228915662650602,-7.705280151843226,0.3333333333333333,0.3333333333333333,-1.0
Jeremy Horn,Chael Sonnen,2006-05-27,1,0.0,1.0,1.6071184120465425,4.0,3.0,0.0,0.2685277576197387,1.3042906386066764,-2.962513606676343,1.3062409288824384,0.0,-30.026941219158203,0.2,0.6,-1.0
Rashad Evans,Stephan Bonnar,2006-06-28,1,-4.0,-4.0,-2.4750171115674213,-1.0,-1.0,-1.0,-0.3606060606060604,-1.393939393939394,2.6818181818181817,-1.2121212121212122,0.696969696969697,1.121212121212121,0.0,-0.3333333333333333,0.0
Luke Cummo,Jonathan Goulet,2006-06-28,0,0.0,1.0,-0.7912388774811774,0.0,0.0,2.0,0.9413793103448278,0.32298850574712656,2.0,0.7586206896551724,0.0,9.00574712643678,0.0,0.0,0.0
Jon Fitch,Thiago Alves,2006-06-28,1,3.0,4.0,5.604380561259411,0.0,-1.0,0.0,-0.5237081702207074,-0.8323965003177087,0.8184884180778407,1.8036072144288577,-0.396580300290159,5.96892232358287,-1.0,0.5,0.0
Yves Edwards,Joe Stevenson,2006-07-08,0,2.0,3.0,5.7056810403833005,5.0,2.0,0.0,0.31984408221119787,-1.0199858256555636,-3.181077250177179,-1.5432317505315378,0.6378454996456414,-9.798558941648947,0.5,0.16666666666666666,1.0
Tito Ortiz,Ken Shamrock,2006-07-08,1,2.0,2.0,-10.948665297741275,6.0,1.0,4.0,1.1559442292364184,-0.8393110258751078,2.215914196844775,-1.9838757232996285,-0.19789987810945295,31.645793051454874,0.08333333333333337,-0.5833333333333333,0.0
Joshua Burkman,Josh Neer,2006-07-08,1,-1.0,0.0,2.951403148528403,0.0,0.0,-3.0,0.22643129140895013,0.26466509651999726,1.7690563712002818,1.0519248970966961,-0.7171314741035857,-8.276397173735994,0.5,0.0,0.0
Tim Sylvia,Andrei Arlovski,2006-07-08,1,5.0,3.0,2.9185489390828216,-1.0,-1.0,4.0,3.8984246944663443,0.8934536635037387,0.05880811261941532,-1.410105757931845,-0.8223468679712225,6.366195700509347,0.11904761904761907,-0.2857142857142857,0.0
Karo Parisyan,Diego Sanchez,2006-08-17,0,0.0,0.0,-0.6570841889117034,1.0,1.0,0.0,-0.39144067330436183,0.8687679923721512,2.56752296605974,1.2132130480224437,0.0,-3.8282633808240263,-0.3,0.2,-1.0
Josh Koscheck,Jonathan Goulet,2006-08-17,1,-2.0,0.0,1.6153319644079396,2.0,0.0,1.0,0.5794143245100285,-0.3502116938782187,2.419160422733371,0.5946013153159051,0.0,20.886729705853483,0.25,0.5,0.0
Josh Neer,Nick Diaz,2006-08-26,0,-2.0,-4.0,0.35865845311430533,-2.0,-2.0,2.0,-0.7292920350343914,-0.04921589238066382,-0.936735541324109,-0.5191021306512551,-0.11396729812809114,6.869470715365441,-0.75,0.25,-1.0
Forrest Griffin,Stephan Bonnar,2006-08-26,1,-1.0,-2.0,-1.9466119096509225,0.0,-1.0,0.0,2.7209302325581395,0.9585985881945347,-0.1383655969858386,-0.5573600103936599,0.1864362738729375,-8.640422675501279,0.3333333333333333,0.0,0.0
Renato Sobral,Chuck Liddell,2006-08-26,0,-1.0,-1.0,-5.722108145106095,-8.0,0.0,-2.0,-1.4132606304985336,-0.5966825513196479,3.0674945014662756,3.145161290322581,-1.171875,25.399880865102638,-0.5384615384615384,0.6,0.0
Mike Swick,David Loiseau,2006-09-23,1,1.0,1.0,0.4955509924709105,0.0,-2.0,5.0,3.0811066694719127,-2.2051861981906167,-0.4591836734693878,4.409583420997265,3.7208079107931837,-0.055228276877762994,0.0,0.5,0.0
BJ Penn,Matt Hughes,2006-09-23,0,0.0,-3.0,-5.166324435318273,-7.0,0.0,-6.0,0.19910311275881254,0.8821106487993662,-2.11752358889244,-0.5570132166373033,0.39121930015214085,-21.980613276834845,0.3589743589743589,-0.14102564102564105,0.0
Jason Lambert,Rashad Evans,2006-09-23,0,3.0,0.0,4.3121149897330575,0.0,0.0,0.0,3.6931241229748686,-0.08450057405281308,-4.300038270187525,2.0665901262916186,0.3666283964791426,-1.1410639112131662,0.6666666666666666,0.3333333333333333,0.0
John Alessio,Thiago Alves,2006-10-10,0,1.0,2.0,4.246406570841888,-2.0,0.0,-1.0,-0.7532936163853426,-2.5788514257159716,-3.042596348884382,0.24658340325570993,-0.6085192697768762,-19.918864097363084,-1.0,0.0,0.0
Tito Ortiz,Ken Shamrock,2006-10-10,1,2.0,2.0,-10.948665297741272,7.0,0.0,6.0,1.230378719707885,-0.9931560535816384,2.30333506849348,-1.933197801454734,-0.1919105793687725,31.70547143607642,0.12820512820512825,-0.5897435897435896,0.0
Kenny Florian,Sean Sherk,2006-10-14,0,4.0,7.0,-2.806297056810404,-1.0,-1.0,2.0,1.523483215768033,-0.00868149929332862,0.8367334539896532,2.295800904282873,0.0,-4.7309854381039464,0.0,0.41666666666666663,1.0
Travis Lutter,Patrick Cote,2006-11-11,1,0.0,0.0,6.800821355236138,1.0,-1.0,1.0,-1.3901445147655405,0.7285149650901488,0.16918635896714918,0.0,-0.1830641302696414,-1.9429015880070644,1.0,0.0,0.0
Matt Serra,Chris Lytle,2006-11-11,1,-5.0,0.0,0.21081451060916834,2.0,0.0,1.0,-0.2795725486591045,-0.40041208544302,1.9249484764804703,-0.35293546682388643,-0.11004437724717264,17.715342119764642,0.0,-0.75,0.0
Matt Hughes,Georges St-Pierre,2006-11-18,0,-2.0,-3.0,7.597535934291585,8.0,1.0,2.0,-1.9235953769027683,-0.5966637231674249,-0.5604125776020572,-0.19847449270507722,-0.47083442322783153,2.3695384524188157,0.023809523809523836,0.11904761904761904,0.0
Jeff Monson,Tim Sylvia,2006-11-18,0,-11.0,-6.0,5.12799452429843,-3.0,0.0,-1.0,-4.619715767372321,-0.4752593351353003,1.497740244459011,0.24882499308819467,-0.7273138355452109,16.239465119221897,-0.4642857142857143,0.25,0.0
Brandon Vera,Frank Mir,2006-11-18,1,0.0,-1.0,1.6180698151950743,-4.0,-2.0,2.0,0.864928830738168,-1.5416552452648538,-3.740648379052369,-4.030473414319429,3.245238111156425,-11.5163833044734,0.5238095238095237,-0.23809523809523808,-1.0
Joe Riggs,Diego Sanchez,2006-12-13,0,2.0,-2.0,-0.7282683093771389,-1.0,3.0,-4.0,-0.48635962649178577,0.20987921458967929,-0.645483446795053,-0.09287771101383169,0.0,-9.33874842568396,-0.15000000000000002,0.25,0.0
Karo Parisyan,Drew Fickett,2006-12-13,1,0.0,2.0,-2.704996577686515,2.0,0.0,-2.0,1.2787381885504079,0.626890433026376,5.4613978985838285,-2.003257916376139,-0.45226130653266333,19.88924286504292,0.2,-0.8,0.0
Tito Ortiz,Chuck Liddell,2006-12-30,0,1.0,-2.0,-5.100616016427104,0.0,2.0,-1.0,-0.344651652103356,-0.03443388787972368,3.3776297335633436,0.2357666783094656,-1.2909534225760755,26.57758726181035,-0.0714285714285714,0.07142857142857142,0.0
Keith Jardine,Forrest Griffin,2006-12-30,1,-1.0,-1.0,3.3730321697467502,-1.0,0.0,0.0,-1.1175800655840717,-1.3343609480236416,-0.6052781432246157,-0.5905511811023622,-0.014726962122253384,-4.980167691008699,0.08333333333333331,-0.25,0.0
Thiago Alves,Tony DeSouza,2006-12-30,1,-3.0,0.0,-9.188227241615333,0.0,1.0,0.0,1.1900209784926867,1.9329103320944374,-1.6634193033679323,-0.6425545444960721,0.37831021437578816,-19.11659542391581,0.6666666666666666,-0.6666666666666666,-1.0
Yushin Okami,Rory Singer,2006-12-30,1,0.0,-2.0,-5.147159479808348,0.0,0.0,0.0,-1.3375000000000001,-0.675,4.5,-0.375,0.0,19.0625,0.5,-0.5,1.0
Nate Marquardt,Dean Lister,2007-01-25,1,-1.0,-1.0,-3.1813826146475,1.0,0.0,1.0,1.0415929516665483,-0.09495081735192135,-0.6010721109617161,-0.9776378175642204,0.0,5.2839678720543475,0.0,-0.16666666666666669,0.0
Spencer Fisher,Hermes Franca,2007-01-25,0,1.0,-3.0,-1.7029431895961693,0.0,-1.0,0.0,1.3992776254886978,0.553745562396081,-0.8986147935109876,-1.1172650878533235,0.14660944591740432,0.5579584775086488,0.25,-0.25,1.0
Travis Lutter,Anderson Silva,2007-02-03,0,-3.0,-2.0,1.9219712525667347,0.0,2.0,-1.0,-11.728320793003753,-0.3473431860218721,0.9656652360515021,0.48283261802575106,-10.814238511681362,2.6532224756226768,-0.5,0.5,-1.0
Terry Martin,Jorge Rivera,2007-02-03,1,-5.0,-2.0,-8.616016427104721,-3.0,-1.0,-3.0,-1.5238782054040287,0.8414814865811486,3.228166076029541,0.0,-0.5932762030323006,20.495291827521335,-0.3333333333333333,0.0,0.0
Scott Smith,Patrick Cote,2007-02-03,0,1.0,-5.0,0.7775496235455144,1.0,-3.0,5.0,0.8621036099684445,1.8539648246295106,-0.33419977720014854,0.0,1.9290030430023002,-0.9689060784493391,1.0,0.0,0.0
Luigi Fioravanti,Jon Fitch,2007-03-03,0,-4.0,-4.0,-2.9103353867214246,-2.0,1.0,-2.0,-0.6737894740285624,1.506440108926424,-3.5910950264815336,-1.5131136516476125,0.6456231981317818,-35.37977271633284,0.75,-0.25,0.0
Renato Sobral,Jason Lambert,2007-03-03,0,-2.0,0.0,-0.26283367556468207,2.0,2.0,0.0,-2.495768197648477,-0.9524714544244022,2.617299132877296,-0.36042438803815857,-0.6854531607006855,10.133303520895492,-0.6666666666666666,0.26666666666666666,0.0
Chris Lytle,Matt Hughes,2007-03-03,0,2.0,-5.0,-0.8459958932238223,-12.0,2.0,-2.0,-0.6412881384296907,0.7992621622303173,-2.9785242442234994,0.23260888752358388,0.19946808510638298,-26.839368980782055,-0.35714285714285715,0.7142857142857143,0.0
Rich Franklin,Jason MacDonald,2007-03-03,1,-2.0,-4.0,0.6598220396988381,5.0,1.0,-3.0,3.838980248245524,0.11637365067292671,0.38305266721414877,-3.4099025555760667,1.4506101772967992,-11.012700584901367,0.5714285714285714,-0.8571428571428572,1.0
Randy Couture,Tim Sylvia,2007-03-03,1,-7.0,-5.0,12.703627652292948,3.0,3.0,-6.0,-2.3948376726068275,-0.7909438622484466,2.927719698005693,0.47940631389252664,-0.6939090208172706,17.763311668427093,-0.17045454545454547,0.18181818181818182,0.0
Melvin Guillard,Joe Stevenson,2007-04-05,0,2.0,1.0,-0.7885010266940427,0.0,0.0,0.0,1.1181171263182443,-1.112922598550906,2.473669947135895,-2.450981205163613,2.2632020117351215,-6.931112136453542,0.6666666666666666,-0.3333333333333333,0.0
Alan Belcher,Kendall Grove,2007-04-07,0,-4.0,-4.0,-1.4483230663928808,-1.0,1.0,-1.0,-0.6684225929177641,-1.0648189893141604,-0.2496262724533136,-4.450086609875898,0.5405405405405406,-6.395811087646029,0.5,0.0,0.0
Yushin Okami,Mike Swick,2007-04-07,1,1.0,-2.0,-2.0889801505817935,-2.0,0.0,-2.0,-0.8692092758369081,-0.7454750929897314,1.9561213048817372,-1.0291160191496558,-1.3975155279503106,12.969798359109431,0.2666666666666666,-0.4,1.0
Diego Sanchez,Josh Koscheck,2007-04-07,0,0.0,-1.0,-4.084873374401095,0.0,-1.0,2.0,1.2099248508011615,0.62421608996671,-2.204199558659599,-0.48888686671064885,0.2739040425870737,-17.22090527864352,0.16666666666666669,-0.3333333333333333,1.0
